cliente_id,x,y,peso_kg,nombre,telefono,direccion
deposito,-77.0428,-12.0464,0,Deposito Central,,Cercado de Lima
LimaNorte-01,-76.995942,-11.912354,2,Cliente LimaNorte-01,929172800,"Comas, Lima"
LimaNorte-02,-77.064534,-11.911481,2,Cliente LimaNorte-02,969051846,"Puente Piedra, Lima"
LimaNorte-03,-77.044868,-11.907614,10,Cliente LimaNorte-03,968981146,"Carabayllo, Lima"
LimaNorte-04,-77.109378,-11.97245,5,Cliente LimaNorte-04,950268613,"San Martin De Porres, Lima"
LimaNorte-05,-77.063929,-11.831732,23,Cliente LimaNorte-05,975365113,"Carabayllo, Lima"
LimaNorte-06,-77.083778,-12.000288,17,Cliente LimaNorte-06,931548526,"Los Olivos, Lima"
LimaNorte-07,-77.061576,-12.004427,23,Cliente LimaNorte-07,997183605,"Independencia, Lima"
LimaNorte-08,-77.065776,-11.998658,19,Cliente LimaNorte-08,997356234,"Los Olivos, Lima"
LimaNorte-09,-77.059449,-11.990667,20,Cliente LimaNorte-09,948892351,"Independencia, Lima"
LimaNorte-10,-77.063428,-12.002543,24,Cliente LimaNorte-10,952561105,"Los Olivos, Lima"
LimaNorte-11,-77.072391,-11.978431,10,Cliente LimaNorte-11,979075928,"Los Olivos, Lima"
LimaNorte-12,-77.061292,-11.91952,6,Cliente LimaNorte-12,981000252,"Los Olivos, Lima"
LimaNorte-13,-77.053999,-11.978853,2,Cliente LimaNorte-13,970118748,"Independencia, Lima"
LimaNorte-14,-77.08456,-11.979829,2,Cliente LimaNorte-14,945123805,"Los Olivos, Lima"
LimaNorte-15,-77.022552,-11.815812,23,Cliente LimaNorte-15,967574639,"Carabayllo, Lima"
LimaNorte-16,-77.047388,-11.990258,3,Cliente LimaNorte-16,936778368,"Independencia, Lima"
LimaNorte-17,-77.06998,-11.854669,25,Cliente LimaNorte-17,962686289,"Puente Piedra, Lima"
LimaNorte-18,-77.071349,-11.906317,11,Cliente LimaNorte-18,993586570,"Comas, Lima"
LimaNorte-19,-77.051877,-11.906923,16,Cliente LimaNorte-19,911518186,"Comas, Lima"
LimaNorte-20,-77.064798,-11.830461,25,Cliente LimaNorte-20,994404228,"Carabayllo, Lima"
LimaNorte-21,-77.028381,-11.914162,15,Cliente LimaNorte-21,976583513,"Comas, Lima"
LimaNorte-22,-77.010316,-11.913551,7,Cliente LimaNorte-22,965350668,"Comas, Lima"
LimaNorte-23,-77.034109,-11.917018,9,Cliente LimaNorte-23,956208050,"Comas, Lima"
LimaNorte-24,-77.084908,-12.034506,25,Cliente LimaNorte-24,981128987,"San Martin De Porres, Lima"
LimaNorte-25,-77.046775,-11.970025,24,Cliente LimaNorte-25,914306952,"San Martin De Porres, Lima"
LimaNorte-26,-77.053503,-11.965073,24,Cliente LimaNorte-26,916626016,"Comas, Lima"
LimaNorte-27,-77.034668,-11.976232,6,Cliente LimaNorte-27,989629441,"Independencia, Lima"
LimaNorte-28,-77.090918,-11.994574,3,Cliente LimaNorte-28,980890305,"San Martin De Porres, Lima"
LimaNorte-29,-77.115575,-11.956385,20,Cliente LimaNorte-29,962255230,"San Martin De Porres, Lima"
LimaNorte-30,-77.063991,-11.943761,24,Cliente LimaNorte-30,962434782,"Puente Piedra, Lima"
LimaNorte-31,-77.043851,-11.834136,9,Cliente LimaNorte-31,931877441,"Carabayllo, Lima"
LimaNorte-32,-77.073042,-11.998443,21,Cliente LimaNorte-32,985882111,"San Martin De Porres, Lima"
LimaNorte-33,-77.065107,-11.906773,10,Cliente LimaNorte-33,993654204,"Carabayllo, Lima"
LimaNorte-34,-77.013192,-11.846939,24,Cliente LimaNorte-34,922458138,"Carabayllo, Lima"
LimaNorte-35,-77.068598,-11.936086,10,Cliente LimaNorte-35,982719250,"Los Olivos, Lima"
LimaNorte-36,-77.083867,-11.831771,22,Cliente LimaNorte-36,940072856,"Puente Piedra, Lima"
LimaNorte-37,-77.06078,-12.034367,13,Cliente LimaNorte-37,984406365,"San Martin De Porres, Lima"
LimaNorte-38,-77.077853,-11.870248,25,Cliente LimaNorte-38,954544473,"Puente Piedra, Lima"
LimaNorte-39,-77.087655,-11.934228,8,Cliente LimaNorte-39,953400194,"Puente Piedra, Lima"
LimaNorte-40,-77.054748,-11.973957,13,Cliente LimaNorte-40,954345412,"San Martin De Porres, Lima"
LimaNorte-41,-77.077589,-11.877089,7,Cliente LimaNorte-41,996428742,"Puente Piedra, Lima"
